interconnectorId_a,interconnectorId_b,common_half_hours,same_direction_share_pct,opposite_direction_share_pct,near_zero_involved_share_pct,both_import_share_pct,both_export_share_pct,a_import_b_export_share_pct,a_export_b_import_share_pct
INTELEC,INTEW,71898,12.058749895685555,50.99585523936688,36.945394864947566,5.143397591031739,6.9153523046538155,43.266850260090685,7.729004979276197
INTELEC,INTFR,71898,79.79359648390776,6.1448162674900555,14.061587248602187,65.16592951125205,14.627666972655707,2.7928454199004147,3.351970847589641
INTELEC,INTGRNL,24814,13.750302248730556,77.01297654549852,9.236721205770936,11.747400660917224,2.0029015878133314,75.60248246957363,1.4104940759248812
INTELEC,INTIFA2,71898,71.53467412167237,16.10615037970458,12.359175498623049,54.02236501710757,17.5123091045648,14.117221619516537,1.9889287601880443
INTELEC,INTIRL,71898,17.314807087818853,64.01568889259785,18.6695040195833,8.549611950262873,8.765195137555983,55.17816907285321,8.837519819744639
INTELEC,INTNED,71898,49.56048846977662,30.817268908731815,19.622242621491555,39.79665637430805,9.76383209546858,22.344154218476177,8.47311469025564
INTELEC,INTNEM,71898,62.6206570419205,22.66544271050655,14.71390024757295,50.64535870260647,11.975298339314028,16.23550029208045,6.429942418426103
INTELEC,INTNSL,71898,65.6708114272998,20.24117499791371,14.088013574786503,58.78327630810315,6.88753511919664,7.790202787281983,12.450972210631727
INTELEC,INTVKL,43870,48.96740369272852,28.308639161157966,22.723957146113516,47.1164805105995,1.8509231821290175,26.015500341919306,2.2931388192386595
INTEW,INTFR,87614,14.309356952085285,53.06343735019517,32.62720569771954,7.11073572716689,7.198621224918392,8.592234117835048,44.471203232360125
INTEW,INTGRNL,24814,52.63560893044249,2.462319658257435,44.90207141130007,3.7801241234786813,48.85548480696381,0.9833158700733458,1.4790037881840896
INTEW,INTIFA2,87614,22.728102814618666,46.939986760106834,30.3319104252745,6.3688451617321435,16.359257652886523,10.478918894240646,36.461067865866184
INTEW,INTIRL,87614,64.25114707695117,2.5692240966055655,33.17962882644326,14.237450635743146,50.01369644120802,1.4004611135206702,1.1687629830848951
INTEW,INTNED,87614,23.27710183304038,39.154701303444654,37.56819686351496,9.030520236491885,14.246581596548497,6.600543292167918,32.55415801127673
INTEW,INTNEM,87614,20.70445362613281,47.40452439107905,31.891021982788136,9.000844613874495,11.703609012258315,7.414340173944803,39.99018421713425
INTEW,INTNSL,83152,18.018808928227823,50.167163748316334,31.81402732345584,12.350875505099095,5.667933423128728,4.529055224167789,45.63810852414855
INTEW,INTVKL,43870,21.388192386596764,43.35764759516754,35.254160018235694,3.4739001595623433,17.91429222703442,2.6031456576248004,40.75450193754274
INTFR,INTGRNL,24814,15.652454259692108,81.25654872249537,3.0909970178125254,12.182638832916902,3.4698154267752073,79.40678649149675,1.84976223099863
INTFR,INTIFA2,87614,79.24190197913575,17.03152464218047,3.726573378683772,57.681420777501316,21.560481201634442,14.919989955943114,2.111534686237359
INTFR,INTIRL,87614,21.603853265459858,68.81434473942521,9.581801995114937,11.30412947702422,10.299723788435639,57.17921793320703,11.635126806218183
INTFR,INTNED,87614,55.10306572009039,32.32930810144497,12.567626178464627,45.20168009678818,9.901385623302213,20.46590727509302,11.863400826351953
INTFR,INTNEM,87614,69.49345994932317,24.883009564681444,5.6235304859953885,56.51379916451709,12.979660784806082,14.877759262218367,10.005250302463077
INTFR,INTNSL,83152,71.25024052337888,23.618193188377912,5.131566288243217,63.327400423321144,7.922840100057725,6.842890128920532,16.77530305945738
INTFR,INTVKL,43870,60.50604057442443,32.38431730111694,7.109642124458627,57.508547982676085,2.9974925917483475,28.59357191702758,3.790745384089355
INTGRNL,INTIFA2,24814,23.563311034093655,73.37390182961232,3.0627871362940278,10.36108648343677,13.202224550656888,3.6753445635528332,69.69855726605948
INTGRNL,INTIRL,24814,82.13105504956879,2.909647779479326,14.959297170951883,8.813572982993472,73.31748206657532,1.8215523494801322,1.0880954299991938
INTGRNL,INTNED,24814,36.70105585556541,54.570000805996614,8.728943338437979,4.618360602885468,32.08269525267994,8.487144353993713,46.0828564520029
INTGRNL,INTNEM,24814,31.139679213347303,64.25405013298943,4.6062706536632545,6.194083984847263,24.94559522850004,7.568308213105506,56.68574191988394
INTGRNL,INTNSL,24814,21.971467719835577,72.79358426694607,5.234948013218344,9.643749496252116,12.327718223583462,4.090432820182155,68.70315144676393
INTGRNL,INTVKL,24814,35.02458289675183,56.327073426291605,8.648343676956555,6.762311598291287,28.262271298460544,6.903361005883775,49.42371242040783
INTIFA2,INTIRL,87614,31.450453123929968,62.488871641518486,6.060675234551556,10.056611956993175,21.39384116693679,48.03684342684959,14.45202821466889
INTIFA2,INTNED,87614,53.88864793297875,36.661949003583906,9.44940306343735,38.87050014837811,15.018147784600636,16.339854361175156,20.322094642408747
INTIFA2,INTNEM,87614,64.55703426393042,32.970758098020866,2.472207638048714,48.20348346154724,16.353550802383182,12.471751090008446,20.49900700801242
INTIFA2,INTNSL,83152,63.276890513757934,34.38401962670772,2.339089859534347,53.13401962670772,10.142870887050222,5.4839330382913225,28.900086588416396
INTIFA2,INTVKL,43870,51.64577159790289,41.28333713243674,7.07089126966036,43.455664463186686,8.190107134716207,23.407795760200592,17.875541372236153
INTIRL,INTNED,87614,32.671719131645624,52.25192320861962,15.076357659734747,13.316364964503391,19.355354167142238,9.338690163672473,42.913233044947155
INTIRL,INTNEM,87614,29.838838541785563,61.88052137786199,8.280640080352455,13.772913004770926,16.065925537014632,10.082863469308558,51.79765790855343
INTIRL,INTNSL,83152,25.95968828170098,65.87334038868578,8.166971329613238,17.950259765249182,8.0094285164518,6.334183182605349,59.53915720608043
INTIRL,INTVKL,43870,29.45064964668338,56.168224299065415,14.381126054251197,5.867335308867108,23.583314337816276,4.9213585593799865,51.24686573968543
INTNED,INTNEM,87614,73.13557194055744,15.383386216814666,11.48104184262789,52.544113954390845,20.591457986166596,5.430638938982354,9.952747277832309
INTNED,INTNSL,83152,60.85963055609005,27.311429670964017,11.82893977294593,51.30724456417164,9.552385991918415,4.842938233596305,22.468491437367714
INTNED,INTVKL,43870,63.73603829496239,17.066332345566444,19.197629359471165,41.84180533394119,21.8942329610212,6.209254615910645,10.857077729655801
INTNEM,INTNSL,83152,69.66519145660959,25.739609390032715,4.595199153357706,59.98653069078315,9.678660765826438,5.595776409467,20.143832980565712
INTNEM,INTVKL,43870,67.1483929792569,24.219284248917255,8.63232277182585,50.56530658764532,16.58308639161158,14.572600866195579,9.646683382721678
INTNSL,INTVKL,43870,63.9047184864372,26.544335536813314,9.550945976749487,56.32550718030544,7.579211306131753,22.90631410987007,3.6380214269432414
