interconnectorId,season,interconnectorName,interconnectorBiddingZone,capacity_mw,first_timestamp,last_timestamp,observations,expected_half_hours_between_first_last,missing_half_hours_between_first_last,coverage_pct_between_first_last,duration_hours,import_share_pct,export_share_pct,near_zero_share_pct,dominant_direction,mean_signed_mw,median_signed_mw,p05_signed_mw,p25_signed_mw,p75_signed_mw,p95_signed_mw,mean_import_mw_when_importing,mean_export_mw_when_exporting,max_import_mw,max_export_mw,observed_abs_peak_mw,observed_abs_p95_mw,mean_signed_pct_capacity,median_signed_pct_capacity,p05_signed_pct_capacity,p95_signed_pct_capacity,mean_import_pct_capacity_when_importing,mean_export_pct_capacity_when_exporting,observed_abs_peak_pct_capacity,observed_abs_p95_pct_capacity,import_gwh,export_gwh,net_gwh,abs_flow_gwh,direction_switches_ignoring_near_zero,direction_switches_per_30d,share_abs_ge_500mw_pct,share_abs_ge_1000mw_pct,share_abs_ge_1500mw_pct,share_import_ge_1000mw_pct,share_export_ge_1000mw_pct,longest_near_zero_run_hours,deadband_mw
INTIRL,Spring,Northern Ireland(Moyle),IRELAND,682,2022-03-01 00:00:00+00:00,2026-05-31 23:30:00+00:00,22077,74544,52467,29.616065679330326,11038.5,19.70829369932509,76.0791774244689,4.212528876206006,export,-221.4313538977216,-330.0,-452.0,-452.0,-18.0,324.0,212.28591128476214,346.046439628483,682.0,592.0,682.0,452.0,-32.46794045421137,-48.38709677419355,-66.27565982404691,47.50733137829912,31.12696646404137,50.7399471596016,100.0,66.27565982404691,461.8280000000001,2906.098,-2444.27,3367.9260000000004,780,15.067813208483695,0.018118403768627982,0.0,0.0,0.0,0.0,19.5,1.0
INTIRL,Summer,Northern Ireland(Moyle),IRELAND,682,2021-07-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,22074,87646,65572,25.185404924354792,11037.0,17.06079550602519,69.68832110174866,13.250883392226148,export,-204.87750294464075,-256.0,-454.0,-450.0,0.0,244.0,168.96919808815719,335.35747253461614,404.0,458.0,458.0,454.0,-30.040689581325623,-37.5366568914956,-66.56891495601172,35.77712609970675,24.77554224166528,49.17264993176189,67.15542521994135,66.56891495601172,318.169,2579.402,-2261.233,2897.571,642,10.548006161218552,0.0,0.0,0.0,0.0,0.0,298.5,1.0
INTIRL,Winter,Northern Ireland(Moyle),IRELAND,682,2021-12-01 00:00:00+00:00,2026-02-28 23:30:00+00:00,21631,74448,52817,29.055179454115628,10815.5,33.835698765660396,62.30410059636633,3.860200637973279,export,-125.43534741805742,-174.0,-452.0,-448.0,142.0,400.0,234.59816914879082,328.73161682867106,404.0,486.0,486.0,452.0,-18.392279680067073,-25.513196480938415,-66.27565982404691,58.65102639296188,34.398558526215666,48.20111683704854,71.26099706744868,66.27565982404691,858.5120000000001,2215.1580000000004,-1356.6460000000002,3073.67,963,18.626942657192366,0.0,0.0,0.0,0.0,0.0,49.5,1.0
INTNED,Autumn,Netherlands(BritNed),NETHERLANDS,1402,2021-09-01 00:00:00+00:00,2025-11-30 23:30:00+00:00,21832,74496,52664,29.30627147766323,10916.0,54.87816049835105,37.86185415903262,7.259985342616343,import,157.34985342616343,196.0,-1042.0,-472.0,902.0,1042.0,737.6357566146398,653.5630292765545,1402.0,1076.0,1402.0,1048.0,11.223242041809089,13.980028530670472,-74.32239657631953,74.32239657631953,52.61310674854778,46.61647855039619,100.0,74.75035663338089,4418.807000000001,2701.1760000000004,1717.6310000000003,7119.983,1131,21.862406872944494,65.18413338219128,28.041407108831073,0.0,18.449981678270426,9.591425430560644,107.5,1.0
INTNED,Spring,Netherlands(BritNed),NETHERLANDS,1402,2022-03-01 00:00:00+00:00,2026-05-31 23:30:00+00:00,22077,74544,52467,29.616065679330326,11038.5,63.10640032613127,30.27585269737736,6.617746976491371,import,279.916836526702,450.0,-1014.0,-262.0,1002.0,1050.0,763.7754809072638,667.4440454817475,1078.0,1080.0,1080.0,1052.0,19.96553755539957,32.09700427960057,-72.32524964336662,74.89300998573466,54.47756639852096,47.60656529827015,77.03281027104137,75.03566333808844,5320.460000000001,2230.598,3089.862,7551.058,1115,21.539245804435023,68.54645105766181,35.00475608098926,0.0,26.525343117271365,8.479412963717897,107.5,1.0
INTNED,Summer,Netherlands(BritNed),NETHERLANDS,1402,2021-07-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,22074,87646,65572,25.185404924354792,11037.0,51.59463622361149,37.088882848600164,11.316480927788348,import,124.76306967473045,104.0,-1018.0,-554.0,858.0,1030.0,743.0480287997191,697.2705508733358,1196.0,1082.0,1196.0,1050.0,8.898935069524283,7.417974322396577,-72.61055634807418,73.46647646219687,52.9991461340741,49.73399078982424,85.30670470756063,74.89300998573466,4231.286999999999,2854.277,1377.01,7085.564,919,15.09909293171316,65.57035426293378,27.656972003261753,0.0,17.862643834375284,9.794328168886473,34.0,1.0
INTNED,Winter,Netherlands(BritNed),NETHERLANDS,1402,2021-12-01 00:00:00+00:00,2026-02-28 23:30:00+00:00,21631,74448,52817,29.055179454115628,10815.5,67.45873977162405,20.14238823910129,12.398871989274653,import,373.10702232906476,484.0,-898.0,0.0,984.0,1054.0,728.6281524122807,587.8962588937342,1098.0,1094.0,1098.0,1056.0,26.612483760988926,34.52211126961483,-64.05135520684736,75.17831669044223,51.97062428047651,41.93268608371856,78.3166904422254,75.320970042796,5316.071,1280.7320000000002,4035.339,6596.803,799,15.454753045790964,60.7276593777449,27.257177199389766,0.0,23.74370116961768,3.5134760297720864,127.0,1.0
INTNEM,Autumn,Belgium (Nemolink),BELGIUM,1366,2021-09-01 00:00:00+00:00,2025-11-30 23:30:00+00:00,21832,74496,52664,29.30627147766323,10916.0,64.76273360205204,28.151337486258704,7.085928911689264,import,304.70437889336756,462.0,-994.0,-114.0,942.5,1016.0,723.028219817526,580.9616010413276,1020.0,1022.0,1022.0,1020.0,22.306323491461754,33.821376281112734,-72.76720351390922,74.37774524158127,52.930323559116104,42.530131847827796,74.81698389458272,74.67057101024889,5111.448,1785.295,3326.1530000000002,6896.743,941,18.18967715954091,64.84060095272994,21.450164895566143,0.0,16.581165262000734,4.868999633565409,200.0,1.0
INTNEM,Spring,Belgium (Nemolink),BELGIUM,1366,2022-03-01 00:00:00+00:00,2026-05-31 23:30:00+00:00,22077,74544,52467,29.616065679330326,11038.5,73.45653847896,26.076912623997828,0.46654889704217056,import,381.43126330570277,598.0,-1020.0,-40.0,992.0,1016.0,720.8319664549547,567.8085808580859,1366.0,1024.0,1366.0,1020.0,27.92322571784062,43.77745241581259,-74.67057101024889,74.37774524158127,52.76954366434514,41.56724603646309,100.0,74.67057101024889,5844.866,1634.437,4210.429,7479.303,1149,22.196047918650976,68.4332110341079,24.33301626126738,0.0,18.426416632694657,5.906599628572723,3.5,1.0
INTNEM,Summer,Belgium (Nemolink),BELGIUM,1366,2021-07-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,22074,87646,65572,25.185404924354792,11037.0,63.97118782277793,35.34927969556945,0.6795324816526229,import,235.23548065597535,412.0,-1020.0,-342.0,898.0,1016.0,697.2170526166702,596.2852748942714,1020.0,1044.0,1044.0,1020.0,17.220752610247096,30.161054172767205,-74.67057101024889,74.37774524158127,51.040779840166195,43.651923491527924,76.42752562225475,74.67057101024889,4922.701,2326.407,2596.294,7249.108,1063,17.4650008557248,67.55005889281507,21.849234393404004,0.0,15.044849143789074,6.804385249614932,5.0,1.0
INTNEM,Winter,Belgium (Nemolink),BELGIUM,1366,2021-12-01 00:00:00+00:00,2026-02-28 23:30:00+00:00,21631,74448,52817,29.055179454115628,10815.5,72.7613147797143,25.791687855392727,1.4469973648929777,import,385.03009569599186,566.0,-868.0,-26.0,972.0,1018.0,707.2129106042315,502.2832048754257,1034.0,1024.0,1034.0,1020.0,28.186683433088717,41.434846266471446,-63.543191800878475,74.52415812591508,51.77254103984125,36.7703663891234,75.69546120058565,74.67057101024889,5565.412,1401.1190000000001,4164.293,6966.531000000001,1002,19.381304820879283,64.98081457167953,20.711016596551246,0.0,18.214599417502658,2.4964171790485876,63.0,1.0
INTNSL,Autumn,North Sea Link (INTNSL),NORWAY2,1846,2021-10-01 23:00:00+00:00,2025-11-30 23:30:00+00:00,20346,73010,52664,27.867415422544855,10173.0,77.44519807333137,15.86552639339428,6.689275533274354,import,746.7402929322717,1090.0,-1080.0,182.0,1398.0,1400.0,1106.1519324744559,692.8308550185874,1400.0,1454.0,1454.0,1400.0,40.45180351745784,59.0465872156013,-58.50487540628385,75.83965330444204,59.92155647207237,37.53146560230701,78.76489707475623,75.83965330444204,8714.818,1118.2290000000003,7596.589,9833.047,304,5.995973099206948,81.44598446869163,57.01857859038631,0.0,51.01248402634424,6.006094564042072,269.0,1.0
INTNSL,Spring,North Sea Link (INTNSL),NORWAY2,1846,2022-03-01 00:00:00+00:00,2026-05-31 23:30:00+00:00,22077,74544,52467,29.616065679330326,11038.5,84.41364315803777,15.35081759297006,0.2355392489921638,import,833.1715359876795,1096.0,-738.0,694.0,1398.0,1398.0,1101.5025756600128,629.5880790793744,1400.0,1454.0,1454.0,1400.0,45.1338860231679,59.37161430119177,-39.978331527627304,75.73131094257855,59.66969532286094,34.10552974427814,78.76489707475623,75.83965330444204,10263.801,1066.837,9196.964,11330.637999999999,306,5.911219027943603,87.32617656384473,60.46111337591158,0.0,56.9099062372605,3.551207138651085,5.5,1.0
INTNSL,Summer,North Sea Link (INTNSL),NORWAY2,1846,2022-06-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,19098,71566,52468,26.685856412262805,9549.0,83.35427793486228,14.383705100010472,2.2620169651272386,import,878.1336265577547,1298.0,-736.0,492.0,1398.0,1400.0,1142.0807839688423,513.3556607207863,1846.0,1454.0,1846.0,1400.0,47.56953556650892,70.31419284940412,-39.86998916576381,75.83965330444204,61.86786478704454,27.809082379240863,100.0,75.83965330444204,9090.392,705.094,8385.297999999999,9795.486,394,7.927897715363655,81.80437742171955,63.242224316682375,0.010472300764477957,60.93308199811499,2.3091423185673894,161.0,1.0
INTNSL,Winter,North Sea Link (INTNSL),NORWAY2,1846,2021-12-01 00:00:00+00:00,2026-02-28 23:30:00+00:00,21631,74448,52817,29.055179454115628,10815.5,82.97351023993342,16.795340021265776,0.23114973880079517,import,740.2921732698442,1048.0,-1044.0,460.0,1398.0,1398.0,1033.0687541787386,695.9146710707404,1400.0,1454.0,1454.0,1400.0,40.102501260554945,56.77139761646804,-56.554712892741065,75.73131094257855,55.96255439754813,37.69851955962841,78.76489707475623,75.83965330444204,9270.759000000002,1264.129,8006.63,10534.888,385,7.446908538960602,83.69932041976793,57.53779298229394,0.0,51.68045860108178,5.85733438121215,5.5,1.0
INTVKL,Autumn,Denmark (Viking link),DENMARK1,2480,2024-09-01 00:00:00+00:00,2025-11-30 23:30:00+00:00,8736,21888,13152,39.91228070175439,4368.0,63.873626373626365,34.31776556776557,1.8086080586080588,import,337.22413003663,609.0,-1092.0,-474.0,992.0,1424.0,933.5978494623656,754.9986657771848,2480.0,1454.0,2480.0,1424.0,13.597747178896372,24.556451612903224,-44.03225806451613,57.41935483870968,37.645074575095386,30.443494587789708,100.0,57.41935483870968,2604.738,1131.743,1472.995,3736.4809999999998,387,25.461689587426324,76.67124542124543,38.209706959706956,0.022893772893772892,24.141483516483518,14.068223443223443,63.0,1.0
INTVKL,Spring,Denmark (Viking link),DENMARK1,2480,2024-03-01 00:00:00+00:00,2026-05-31 23:30:00+00:00,13248,39456,26208,33.57664233576642,6624.0,58.212560386473434,29.36292270531401,12.42451690821256,import,320.1681763285024,354.0,-1088.0,-180.0,986.0,1422.0,874.454356846473,643.2401028277635,1430.0,1456.0,1456.0,1422.0,12.910007110020256,14.274193548387096,-43.87096774193549,57.33870967741935,35.26025632445456,25.937100920474332,58.70967741935483,57.33870967741935,3371.896,1251.102,2120.794,4622.9980000000005,609,22.22684070460018,64.33423913043478,25.27928743961353,0.0,17.783816425120776,7.495471014492754,324.0,1.0
INTVKL,Summer,Denmark (Viking link),DENMARK1,2480,2024-06-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,10270,36478,26208,28.153955808980758,5135.0,54.800389483933785,36.27069133398248,8.928919182083739,import,210.67049659201558,211.0,-1094.0,-496.0,988.0,1424.0,879.270078180526,747.636510067114,1436.0,1454.0,1454.0,1424.0,8.494778088387726,8.508064516129032,-44.11290322580645,57.41935483870968,35.45443863631153,30.14663347044815,58.62903225806452,57.41935483870968,2474.2659999999996,1392.473,1081.7930000000001,3866.7390000000005,478,18.869972859610165,68.66601752677703,30.642648490749757,0.0,16.72833495618306,13.9143135345667,272.0,1.0
INTVKL,Winter,Denmark (Viking link),DENMARK1,2480,2023-12-30 00:00:00+00:00,2026-02-28 23:30:00+00:00,11616,38016,26400,30.555555555555557,5808.0,68.87913223140497,28.02169421487603,3.0991735537190084,import,428.05802341597797,674.0,-1092.0,-152.0,1066.5,1422.0,894.7926509186352,671.8629800307219,1426.0,1402.0,1426.0,1422.0,17.260404169999113,27.17741935483871,-44.03225806451613,57.33870967741935,36.080348827364325,27.091249194787174,57.49999999999999,57.33870967741935,3579.6179999999995,1093.4569999999999,2486.161,4673.075,360,13.636722346442195,74.46625344352617,35.115358126721766,0.0,26.575413223140497,8.539944903581267,115.5,1.0
TOTAL_GB_INTERCONNECTORS,Autumn,GB interconnector fleet total,Fleet,14398,2021-09-01 00:00:00+00:00,2025-11-30 23:30:00+00:00,21840,74496,52656,29.317010309278352,10920.0,72.91666666666666,27.028388278388277,0.054945054945054944,import,1694.7551282051281,2260.0,-4150.0,-274.0,3970.0,5802.0,3215.782605965463,2405.1983737082837,8736.0,6360.0,8736.0,5872.0,11.770767663600001,15.696624531184886,-28.823447701069593,40.29726350882067,22.33492572555538,16.705086635006833,60.675093763022645,40.783442144742324,25605.669,7098.943,18506.726000000002,32704.612,661,12.777233371367206,92.3992673992674,84.55128205128204,76.29120879120879,64.29029304029305,20.26098901098901,1.5,1.0
TOTAL_GB_INTERCONNECTORS,Spring,GB interconnector fleet total,Fleet,14398,2022-03-01 00:00:00+00:00,2026-05-31 23:30:00+00:00,22080,74544,52464,29.620090148100452,11040.0,84.29800724637681,15.670289855072465,0.03170289855072463,import,3187.465489130435,3767.0,-3138.1,1374.0,5658.0,7000.0,4204.485144791275,2277.122543352601,9230.0,6746.0,9230.0,7000.0,22.13825176503983,26.163356021669678,-21.79538824836783,48.61786359216558,29.201869320678387,15.815547599337416,64.10612585081262,48.61786359216558,39129.041000000005,3939.422,35189.619000000006,43068.463,464,8.963417088123633,94.99547101449275,89.20742753623189,83.5552536231884,77.83514492753623,11.372282608695652,0.5,1.0
TOTAL_GB_INTERCONNECTORS,Summer,GB interconnector fleet total,Fleet,14398,2021-07-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,22078,87646,65568,25.189968737877372,11039.0,73.73403387988043,26.21614276655494,0.04982335356463448,import,2229.417247939125,3041.0,-3940.2999999999997,-166.0,4708.0,6670.0,3842.309601326863,2302.675190048376,8902.0,7914.0,8902.0,6678.0,15.484214807189364,21.120989026253646,-27.36699541603,46.325878594249204,26.686412010882503,15.9930211838337,61.82803167106543,46.38144186692596,31274.479,6663.942,24610.537,37938.421,518,8.510696559986307,92.82996648247124,85.91810852432286,78.77978077724431,66.3375305734215,19.58057795090135,1.5,1.0
TOTAL_GB_INTERCONNECTORS,Winter,GB interconnector fleet total,Fleet,14398,2021-12-01 00:00:00+00:00,2026-02-28 23:30:00+00:00,21648,74448,52800,29.078014184397162,10824.0,81.65650406504065,18.23263118994826,0.11086474501108648,import,2693.211382113821,2928.0,-2270.0,742.0,4912.0,6745.299999999996,3666.4583356904454,1649.1877375221688,8862.0,7206.0,8862.0,6748.0,18.70545480006821,20.3361577996944,-15.766078622030838,46.848867898319185,25.465053032993783,11.45428349438928,61.55021530768162,46.867620502847615,32405.992000000002,3254.672,29151.32,35660.664000000004,786,15.20329899122866,91.91149297856614,83.70288248337029,75.47117516629712,72.51016260162602,11.19271988174427,0.5,1.0
