interconnectorId,interconnectorName,granularity,wind_metric,wind_metric_label,flow_metric,flow_metric_label,observations,pearson_corr,spearman_corr,wind_mean_mw,wind_p10_mw,wind_p90_mw,flow_mean_mw,flow_p10_mw,flow_p90_mw
INTELEC,Eleclink (INTELEC),half_hourly,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,62828,-0.07535510724710112,-0.08979105197382713,6924.9374202775825,1929.7462000000007,12888.649099999995,371.84777487744316,-824.0,998.0
INTELEC,Eleclink (INTELEC),half_hourly,wind_actual_mw,Actual wind output,import_mw,Import magnitude,62828,-0.11181299488901783,-0.09986951207414356,6924.9374202775825,1929.7462000000007,12888.649099999995,515.803940918062,0.0,998.0
INTELEC,Eleclink (INTELEC),half_hourly,wind_actual_mw,Actual wind output,export_mw,Export magnitude,62828,0.0010034317615918473,0.018046346800282893,6924.9374202775825,1929.7462000000007,12888.649099999995,143.95616604061883,0.0,824.0
INTELEC,Eleclink (INTELEC),half_hourly,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,62828,-0.07775862781288478,-0.09276340768989705,7697.560098165028,1940.29252,14800.189559999859,371.84777487744316,-824.0,998.0
INTELEC,Eleclink (INTELEC),half_hourly,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,62828,-0.12373008105843958,-0.10665180083829726,7697.560098165028,1940.29252,14800.189559999859,515.803940918062,0.0,998.0
INTELEC,Eleclink (INTELEC),half_hourly,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,62828,-0.010736774550134968,0.008671358937925455,7697.560098165028,1940.29252,14800.189559999859,143.95616604061883,0.0,824.0
INTEW,Ireland(East-West),half_hourly,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,78544,0.06577811353182156,0.05991602924128282,6733.151311840497,1728.3227600000002,12505.551099999995,-143.97160827052352,-530.0,172.0
INTEW,Ireland(East-West),half_hourly,wind_actual_mw,Actual wind output,import_mw,Import magnitude,78544,0.060356990696765055,0.08662701259959273,6733.151311840497,1728.3227600000002,12505.551099999995,42.60228661641882,0.0,172.0
INTEW,Ireland(East-West),half_hourly,wind_actual_mw,Actual wind output,export_mw,Export magnitude,78544,-0.051304653245124544,-0.040980065724884746,6733.151311840497,1728.3227600000002,12505.551099999995,186.57389488694236,0.0,530.0
INTEW,Ireland(East-West),half_hourly,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,78544,0.06551866167588835,0.05942501656608472,7431.349280167962,1735.4318,14314.205199999842,-143.97160827052352,-530.0,172.0
INTEW,Ireland(East-West),half_hourly,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,78544,0.06453892303378879,0.08849133648467722,7431.349280167962,1735.4318,14314.205199999842,42.60228661641882,0.0,172.0
INTEW,Ireland(East-West),half_hourly,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,78544,-0.04877709575716306,-0.03961534982347706,7431.349280167962,1735.4318,14314.205199999842,186.57389488694236,0.0,530.0
INTFR,France(IFA),half_hourly,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,78544,-0.16877868538426954,-0.17165392559630338,6733.151311840497,1728.3227600000002,12505.551099999995,665.591872071705,-858.0,1998.0
INTFR,France(IFA),half_hourly,wind_actual_mw,Actual wind output,import_mw,Import magnitude,78544,-0.16711656215775417,-0.16693571126431284,6733.151311840497,1728.3227600000002,12505.551099999995,838.7916581788552,0.0,1998.0
INTFR,France(IFA),half_hourly,wind_actual_mw,Actual wind output,export_mw,Export magnitude,78544,0.11873556007666722,0.11454631217416229,6733.151311840497,1728.3227600000002,12505.551099999995,173.19978610715015,0.0,858.0
INTFR,France(IFA),half_hourly,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,78544,-0.1704615369293891,-0.16913063845777607,7431.349280167962,1735.4318,14314.205199999842,665.591872071705,-858.0,1998.0
INTFR,France(IFA),half_hourly,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,78544,-0.16790172691881367,-0.16429652202507364,7431.349280167962,1735.4318,14314.205199999842,838.7916581788552,0.0,1998.0
INTFR,France(IFA),half_hourly,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,78544,0.12170494284288483,0.1136960245273899,7431.349280167962,1735.4318,14314.205199999842,173.19978610715015,0.0,858.0
INTGRNL,Ireland (Greenlink),half_hourly,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,15984,0.18623843771386542,0.16164601602875622,7348.08032967968,2301.91542,13401.345679999999,-348.26463963963965,-514.0,85.40000000000146
INTGRNL,Ireland (Greenlink),half_hourly,wind_actual_mw,Actual wind output,import_mw,Import magnitude,15984,0.15109195949270743,0.1566719576341057,7348.08032967968,2301.91542,13401.345679999999,32.923673673673676,0.0,85.40000000000146
INTGRNL,Ireland (Greenlink),half_hourly,wind_actual_mw,Actual wind output,export_mw,Export magnitude,15984,-0.1792653502920279,-0.15758515929035125,7348.08032967968,2301.91542,13401.345679999999,381.1883133133133,0.0,514.0
INTGRNL,Ireland (Greenlink),half_hourly,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,15984,0.2223061092144655,0.18660414736307834,8528.691885343522,2335.8577999999998,16307.235739977865,-348.26463963963965,-514.0,85.40000000000146
INTGRNL,Ireland (Greenlink),half_hourly,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,15984,0.1861305292682405,0.1762740632365492,8528.691885343522,2335.8577999999998,16307.235739977865,32.923673673673676,0.0,85.40000000000146
INTGRNL,Ireland (Greenlink),half_hourly,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,15984,-0.21092549317950038,-0.18172219105914056,8528.691885343522,2335.8577999999998,16307.235739977865,381.1883133133133,0.0,514.0
INTIFA2,IFA2 (INTIFA2),half_hourly,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,78544,-0.1487990559535037,-0.17278462828485563,6733.151311840497,1728.3227600000002,12505.551099999995,281.875050926869,-966.0,992.0
INTIFA2,IFA2 (INTIFA2),half_hourly,wind_actual_mw,Actual wind output,import_mw,Import magnitude,78544,-0.1805329057136056,-0.181602379560832,6733.151311840497,1728.3227600000002,12505.551099999995,455.3284528417193,0.0,992.0
INTIFA2,IFA2 (INTIFA2),half_hourly,wind_actual_mw,Actual wind output,export_mw,Export magnitude,78544,0.06516435370369635,0.14280627120318018,6733.151311840497,1728.3227600000002,12505.551099999995,173.45340191485028,0.0,966.0
INTIFA2,IFA2 (INTIFA2),half_hourly,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,78544,-0.15092724536029356,-0.17370850483621156,7431.349280167962,1735.4318,14314.205199999842,281.875050926869,-966.0,992.0
INTIFA2,IFA2 (INTIFA2),half_hourly,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,78544,-0.18751932563505364,-0.18634506978570187,7431.349280167962,1735.4318,14314.205199999842,455.3284528417193,0.0,992.0
INTIFA2,IFA2 (INTIFA2),half_hourly,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,78544,0.060485307089204104,0.14256542932958213,7431.349280167962,1735.4318,14314.205199999842,173.45340191485028,0.0,966.0
INTIRL,Northern Ireland(Moyle),half_hourly,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,78544,0.10796555492218621,0.11924193667878616,6733.151311840497,1728.3227600000002,12505.551099999995,-174.356004277857,-452.0,272.0
INTIRL,Northern Ireland(Moyle),half_hourly,wind_actual_mw,Actual wind output,import_mw,Import magnitude,78544,0.1178975281759016,0.11141643062273096,6733.151311840497,1728.3227600000002,12505.551099999995,57.585149724994906,0.0,272.0
INTIRL,Northern Ireland(Moyle),half_hourly,wind_actual_mw,Actual wind output,export_mw,Export magnitude,78544,-0.0840989023854269,-0.10331671664724958,6733.151311840497,1728.3227600000002,12505.551099999995,231.9411540028519,0.0,452.0
INTIRL,Northern Ireland(Moyle),half_hourly,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,78544,0.11350708021878692,0.12494991839892011,7431.349280167962,1735.4318,14314.205199999842,-174.356004277857,-452.0,272.0
INTIRL,Northern Ireland(Moyle),half_hourly,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,78544,0.1174680630664013,0.11145393406816198,7431.349280167962,1735.4318,14314.205199999842,57.585149724994906,0.0,272.0
INTIRL,Northern Ireland(Moyle),half_hourly,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,78544,-0.09235853927649364,-0.10966926482320394,7431.349280167962,1735.4318,14314.205199999842,231.9411540028519,0.0,452.0
INTNED,Netherlands(BritNed),half_hourly,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,78544,-0.10814628994099469,-0.10681874090925247,6733.151311840497,1728.3227600000002,12505.551099999995,241.21083723772662,-906.0,1032.0
INTNED,Netherlands(BritNed),half_hourly,wind_actual_mw,Actual wind output,import_mw,Import magnitude,78544,-0.10758488884438913,-0.10448398749116444,6733.151311840497,1728.3227600000002,12505.551099999995,441.49722448563864,0.0,1032.0
INTNED,Netherlands(BritNed),half_hourly,wind_actual_mw,Actual wind output,export_mw,Export magnitude,78544,0.08186001219333038,0.09036056416518855,6733.151311840497,1728.3227600000002,12505.551099999995,200.286387247912,0.0,906.0
INTNED,Netherlands(BritNed),half_hourly,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,78544,-0.14983796787855122,-0.13880435795405904,7431.349280167962,1735.4318,14314.205199999842,241.21083723772662,-906.0,1032.0
INTNED,Netherlands(BritNed),half_hourly,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,78544,-0.14498860984338308,-0.1343034615103619,7431.349280167962,1735.4318,14314.205199999842,441.49722448563864,0.0,1032.0
INTNED,Netherlands(BritNed),half_hourly,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,78544,0.11851264293168545,0.11852978220239,7431.349280167962,1735.4318,14314.205199999842,200.286387247912,0.0,906.0
INTNEM,Belgium (Nemolink),half_hourly,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,78544,-0.1267892146873771,-0.13166066275724989,6733.151311840497,1728.3227600000002,12505.551099999995,330.4325982888572,-764.0,1000.0
INTNEM,Belgium (Nemolink),half_hourly,wind_actual_mw,Actual wind output,import_mw,Import magnitude,78544,-0.12677182284964897,-0.13047306174281287,6733.151311840497,1728.3227600000002,12505.551099999995,491.1987930332043,0.0,1000.0
INTNEM,Belgium (Nemolink),half_hourly,wind_actual_mw,Actual wind output,export_mw,Export magnitude,78544,0.09646127851916855,0.10659187199857606,6733.151311840497,1728.3227600000002,12505.551099999995,160.7661947443471,0.0,764.0
INTNEM,Belgium (Nemolink),half_hourly,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,78544,-0.16734881866007428,-0.16065194856380807,7431.349280167962,1735.4318,14314.205199999842,330.4325982888572,-764.0,1000.0
INTNEM,Belgium (Nemolink),half_hourly,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,78544,-0.16293192867219183,-0.15834892238143233,7431.349280167962,1735.4318,14314.205199999842,491.1987930332043,0.0,1000.0
INTNEM,Belgium (Nemolink),half_hourly,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,78544,0.13320372602841288,0.13272030349135144,7431.349280167962,1735.4318,14314.205199999842,160.7661947443471,0.0,764.0
INTNSL,North Sea Link (INTNSL),half_hourly,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,74082,-0.20980239791957395,-0.21675209089968628,6930.6879523393,1897.0780000000002,12629.654680000001,839.047163953457,-196.0,1398.0
INTNSL,North Sea Link (INTNSL),half_hourly,wind_actual_mw,Actual wind output,import_mw,Import magnitude,74082,-0.20132935697436993,-0.21268137741260187,6930.6879523393,1897.0780000000002,12629.654680000001,918.0692745876191,0.0,1398.0
INTNSL,North Sea Link (INTNSL),half_hourly,wind_actual_mw,Actual wind output,export_mw,Export magnitude,74082,0.15773695252192124,0.13919664327569362,6930.6879523393,1897.0780000000002,12629.654680000001,79.02211063416215,0.0,196.0
INTNSL,North Sea Link (INTNSL),half_hourly,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,74082,-0.20421719516616355,-0.20584565157187185,7667.726283625068,1905.5412399999998,14467.182359999895,839.047163953457,-196.0,1398.0
INTNSL,North Sea Link (INTNSL),half_hourly,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,74082,-0.19598252971094515,-0.2022722920403145,7667.726283625068,1905.5412399999998,14467.182359999895,918.0692745876191,0.0,1398.0
INTNSL,North Sea Link (INTNSL),half_hourly,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,74082,0.1535111479736181,0.1314171080600211,7667.726283625068,1905.5412399999998,14467.182359999895,79.02211063416215,0.0,196.0
INTVKL,Denmark (Viking link),half_hourly,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,34944,-0.027323263172324676,-0.01826035545098728,7197.614111864698,2128.307200000001,13034.75438,352.4396176739927,-964.0,1416.0
INTVKL,Denmark (Viking link),half_hourly,wind_actual_mw,Actual wind output,import_mw,Import magnitude,34944,0.009925089028496929,-0.0031207648895266267,7197.614111864698,2128.307200000001,13034.75438,557.8009958791209,0.0,1416.0
INTVKL,Denmark (Viking link),half_hourly,wind_actual_mw,Actual wind output,export_mw,Export magnitude,34944,0.07413218784193276,0.07084749728135807,7197.614111864698,2128.307200000001,13034.75438,205.3613782051282,0.0,964.0
INTVKL,Denmark (Viking link),half_hourly,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,34944,-0.035630204400582136,-0.02515867235683172,8237.764915223512,2161.1860000000006,15423.910006666698,352.4396176739927,-964.0,1416.0
INTVKL,Denmark (Viking link),half_hourly,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,34944,0.006111729611104374,-0.009022063029633083,8237.764915223512,2161.1860000000006,15423.910006666698,557.8009958791209,0.0,1416.0
INTVKL,Denmark (Viking link),half_hourly,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,34944,0.08675064008241955,0.08218478879353838,8237.764915223512,2161.1860000000006,15423.910006666698,205.3613782051282,0.0,964.0
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,half_hourly,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,78544,-0.16034632204409924,-0.16830784966674447,6733.151311840497,1728.3227600000002,12505.551099999995,2375.534884905276,-2256.0,6030.0
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,half_hourly,wind_actual_mw,Actual wind output,import_mw,Import magnitude,78544,-0.16851620635695147,-0.1694429874571667,6733.151311840497,1728.3227600000002,12505.551099999995,2874.274113872479,0.0,6030.0
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,half_hourly,wind_actual_mw,Actual wind output,export_mw,Export magnitude,78544,0.09155293566818272,0.11331110891977345,6733.151311840497,1728.3227600000002,12505.551099999995,498.7392289672031,0.0,2256.0
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,half_hourly,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,78544,-0.17668222394580121,-0.18010492774488784,7431.349280167962,1735.4318,14314.205199999842,2375.534884905276,-2256.0,6030.0
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,half_hourly,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,78544,-0.18877739855693573,-0.1821505294876393,7431.349280167962,1735.4318,14314.205199999842,2874.274113872479,0.0,6030.0
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,half_hourly,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,78544,0.09490229432893175,0.11570356912484951,7431.349280167962,1735.4318,14314.205199999842,498.7392289672031,0.0,2256.0
INTELEC,Eleclink (INTELEC),daily,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,1317,-0.05611239882676923,-0.11744552429276942,6918.696867204385,2399.0256750000003,12231.077812500002,372.28551270758743,-686.0166666666667,994.1
INTELEC,Eleclink (INTELEC),daily,wind_actual_mw,Actual wind output,import_mw,Import magnitude,1317,-0.0966661096605772,-0.11993576967066243,6918.696867204385,2399.0256750000003,12231.077812500002,515.8497601925624,0.0,994.1
INTELEC,Eleclink (INTELEC),daily,wind_actual_mw,Actual wind output,export_mw,Export magnitude,1317,-0.014781626923301313,0.11160536683659629,6918.696867204385,2399.0256750000003,12231.077812500002,143.56424748497494,0.0,688.0000000000001
INTELEC,Eleclink (INTELEC),daily,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,1317,-0.04983472596025219,-0.11429458322025368,7690.525049990868,2457.636701666667,14009.23883821797,372.28551270758743,-686.0166666666667,994.1
INTELEC,Eleclink (INTELEC),daily,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,1317,-0.10288994730722849,-0.12190072377719413,7690.525049990868,2457.636701666667,14009.23883821797,515.8497601925624,0.0,994.1
INTELEC,Eleclink (INTELEC),daily,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,1317,-0.036600618357743926,0.09649845907324937,7690.525049990868,2457.636701666667,14009.23883821797,143.56424748497494,0.0,688.0000000000001
INTEW,Ireland(East-West),daily,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,1644,0.11586927139230023,0.113040731041559,6730.680855495117,2105.5563125000003,11988.731495833334,-144.0317552791351,-458.8583333333333,129.7583333333334
INTEW,Ireland(East-West),daily,wind_actual_mw,Actual wind output,import_mw,Import magnitude,1644,0.12186923426680113,0.2225827363366003,6730.680855495117,2105.5563125000003,11988.731495833334,42.46170776327004,0.0,157.8666666666667
INTEW,Ireland(East-West),daily,wind_actual_mw,Actual wind output,export_mw,Export magnitude,1644,-0.09013999545649441,-0.05583243181310209,6730.680855495117,2105.5563125000003,11988.731495833334,186.49346304240515,0.0,458.85833333333335
INTEW,Ireland(East-West),daily,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,1644,0.10070467680065016,0.10027117849050357,7428.945709037391,2148.347972638889,13562.23134998643,-144.0317552791351,-458.8583333333333,129.7583333333334
INTEW,Ireland(East-West),daily,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,1644,0.11167822054674331,0.21406926956244782,7428.945709037391,2148.347972638889,13562.23134998643,42.46170776327004,0.0,157.8666666666667
INTEW,Ireland(East-West),daily,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,1644,-0.07560482311869499,-0.04402127153627644,7428.945709037391,2148.347972638889,13562.23134998643,186.49346304240515,0.0,458.85833333333335
INTFR,France(IFA),daily,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,1644,-0.16503681574111434,-0.18277188594327978,6730.680855495117,2105.5563125000003,11988.731495833334,665.6211408869593,-617.7583333333333,1771.8083333333334
INTFR,France(IFA),daily,wind_actual_mw,Actual wind output,import_mw,Import magnitude,1644,-0.1624565247714448,-0.1536099508551753,6730.680855495117,2105.5563125000003,11988.731495833334,838.8752709983918,0.0,1771.8083333333334
INTFR,France(IFA),daily,wind_actual_mw,Actual wind output,export_mw,Export magnitude,1644,0.12788587816298283,0.23158815613122555,6730.680855495117,2105.5563125000003,11988.731495833334,173.25413011143235,0.0,672.5541666666668
INTFR,France(IFA),daily,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,1644,-0.15403436977188056,-0.17331990680051226,7428.945709037391,2148.347972638889,13562.23134998643,665.6211408869593,-617.7583333333333,1771.8083333333334
INTFR,France(IFA),daily,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,1644,-0.15347693713789043,-0.14355529323822352,7428.945709037391,2148.347972638889,13562.23134998643,838.8752709983918,0.0,1771.8083333333334
INTFR,France(IFA),daily,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,1644,0.11525323200674403,0.2256271964183803,7428.945709037391,2148.347972638889,13562.23134998643,173.25413011143235,0.0,672.5541666666668
INTGRNL,Ireland (Greenlink),daily,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,336,0.3106211297886181,0.35128703441309106,7327.788337201301,2792.5440479166664,12589.750422916666,-348.9528392425811,-512.4166666666667,-65.79166666666667
INTGRNL,Ireland (Greenlink),daily,wind_actual_mw,Actual wind output,import_mw,Import magnitude,336,0.2888514283414123,0.40197597275889163,7327.788337201301,2792.5440479166664,12589.750422916666,32.63841981538993,0.0,117.72916666666666
INTGRNL,Ireland (Greenlink),daily,wind_actual_mw,Actual wind output,export_mw,Export magnitude,336,-0.29425339199232986,-0.33417486300933824,7327.788337201301,2792.5440479166664,12589.750422916666,381.591259057971,159.5625,512.4166666666667
INTGRNL,Ireland (Greenlink),daily,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,336,0.3480517001870894,0.3774057687229522,8502.510900585019,2851.5372430555544,15411.774769824719,-348.9528392425811,-512.4166666666667,-65.79166666666667
INTGRNL,Ireland (Greenlink),daily,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,336,0.33159686118818965,0.42329244382206815,8502.510900585019,2851.5372430555544,15411.774769824719,32.63841981538993,0.0,117.72916666666666
INTGRNL,Ireland (Greenlink),daily,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,336,-0.3259117740068358,-0.3583208488365082,8502.510900585019,2851.5372430555544,15411.774769824719,381.591259057971,159.5625,512.4166666666667
INTIFA2,IFA2 (INTIFA2),daily,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,1644,-0.13662064754738154,-0.18345451800208676,6730.680855495117,2105.5563125000003,11988.731495833334,281.2472701407547,-758.5166666666665,975.0416666666666
INTIFA2,IFA2 (INTIFA2),daily,wind_actual_mw,Actual wind output,import_mw,Import magnitude,1644,-0.17667761544137314,-0.18601422922676092,6730.680855495117,2105.5563125000003,11988.731495833334,454.56296677223264,0.0,975.0416666666666
INTIFA2,IFA2 (INTIFA2),daily,wind_actual_mw,Actual wind output,export_mw,Export magnitude,1644,0.05022375469695928,0.20355263911072735,6730.680855495117,2105.5563125000003,11988.731495833334,173.31569663147795,0.0,765.541666666667
INTIFA2,IFA2 (INTIFA2),daily,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,1644,-0.129383032778621,-0.1787594092770453,7428.945709037391,2148.347972638889,13562.23134998643,281.2472701407547,-758.5166666666665,975.0416666666666
INTIFA2,IFA2 (INTIFA2),daily,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,1644,-0.17679832618885996,-0.18475291785513923,7428.945709037391,2148.347972638889,13562.23134998643,454.56296677223264,0.0,975.0416666666666
INTIFA2,IFA2 (INTIFA2),daily,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,1644,0.035542315949932665,0.19858804439980848,7428.945709037391,2148.347972638889,13562.23134998643,173.31569663147795,0.0,765.541666666667
INTIRL,Northern Ireland(Moyle),daily,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,1644,0.18026830283021983,0.1886206906834123,6730.680855495117,2105.5563125000003,11988.731495833334,-174.21852283989682,-422.9625,139.9416666666667
INTIRL,Northern Ireland(Moyle),daily,wind_actual_mw,Actual wind output,import_mw,Import magnitude,1644,0.21687033608436265,0.2537208868538508,6730.680855495117,2105.5563125000003,11988.731495833334,57.45440224544342,0.0,184.71666666666673
INTIRL,Northern Ireland(Moyle),daily,wind_actual_mw,Actual wind output,export_mw,Export magnitude,1644,-0.13952999314248227,-0.1434226591768007,6730.680855495117,2105.5563125000003,11988.731495833334,231.67292508534027,13.320833333333338,422.9625
INTIRL,Northern Ireland(Moyle),daily,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,1644,0.1698777054418908,0.18368200593761996,7428.945709037391,2148.347972638889,13562.23134998643,-174.21852283989682,-422.9625,139.9416666666667
INTIRL,Northern Ireland(Moyle),daily,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,1644,0.19893026870063305,0.24247652352993793,7428.945709037391,2148.347972638889,13562.23134998643,57.45440224544342,0.0,184.71666666666673
