wind_metric,wind_metric_label,interconnectorId,interconnectorName,wind_bucket,observations,mean_wind_mw,min_wind_mw,max_wind_mw,mean_signed_mw,median_signed_mw,mean_import_mw,mean_export_mw,net_gwh,import_half_hours,export_half_hours,near_zero_half_hours,import_share_pct,export_share_pct,near_zero_share_pct
wind_actual_mw,Actual wind output,INTELEC,Eleclink (INTELEC),lowest_20pct,11353,1729.5558353915264,-115.2388,2830.466,393.93605214480755,738.0,546.1752840658856,152.23923192107813,2236.178,7328,2551,1474,64.54681581960715,22.469831762529726,12.98335241786312
wind_actual_mw,Actual wind output,INTELEC,Eleclink (INTELEC),20_40pct,12862,3887.8469440211475,2830.6159999999995,5018.745599999998,445.8334629140103,850.0,579.3711708909967,133.53770797698647,2867.155,8811,2533,1518,68.50412066552636,19.693671279738766,11.802208054734878
wind_actual_mw,Actual wind output,INTELEC,Eleclink (INTELEC),40_60pct,12871,6270.893215150338,5018.8512,7611.486599999997,408.53158262761247,724.0,550.1623805454121,141.6307979177997,2629.105,8686,2587,1598,67.4850438971331,20.099448372309844,12.415507730557067
wind_actual_mw,Actual wind output,INTELEC,Eleclink (INTELEC),60_80pct,12364,9105.177387301845,7611.787199999998,10784.430800000004,337.42025234551926,452.0,482.9838240051763,145.56357165965707,2085.932,7617,2898,1849,61.60627628599159,23.43901649951472,14.954707214493693
wind_actual_mw,Actual wind output,INTELEC,Eleclink (INTELEC),highest_20pct,13378,12868.123311346988,10784.7864,17142.889999999996,278.49544027507847,263.0,426.19061145163704,147.69517117655852,1862.856,7838,3212,2328,58.588727761997305,24.00956794737629,17.4017042906264
wind_actual_mw,Actual wind output,INTEW,Ireland(East-West),lowest_20pct,15712,1651.282397352342,-115.2388,2830.466,-159.89625763747455,-42.0,31.686608961303463,191.582866598778,-1256.145,2140,8550,5022,13.620162932790226,54.41700610997964,31.962830957230143
wind_actual_mw,Actual wind output,INTEW,Ireland(East-West),20_40pct,15705,3893.593370518943,2830.6159999999995,5018.745599999998,-166.5447946513849,-66.0,35.004648201209804,201.54944285259472,-1307.7930000000001,2297,8876,4532,14.625915313594396,56.51703279210443,28.85705189430118
wind_actual_mw,Actual wind output,INTEW,Ireland(East-West),40_60pct,15712,6261.010603245926,5018.818,7611.486599999997,-140.45812118126273,-18.0,46.79276985743381,187.25089103869655,-1103.439,3066,8255,4391,19.513747454175153,52.53946028513238,27.946792260692465
wind_actual_mw,Actual wind output,INTEW,Ireland(East-West),60_80pct,15705,9147.22514184018,7611.787199999998,10784.568000000003,-142.32766634829673,-28.0,46.71429481056988,189.0419611588666,-1117.6280000000002,3047,8457,4201,19.401464501751033,53.84909264565425,26.74944285259471
wind_actual_mw,Actual wind output,INTEW,Ireland(East-West),highest_20pct,15710,12713.216694793125,10784.598000000004,17142.889999999996,-110.63628262253341,0.0,52.812858052196056,163.44914067472948,-869.048,3631,7688,4391,23.112667091024825,48.93698281349459,27.950350095480587
wind_actual_mw,Actual wind output,INTFR,France(IFA),lowest_20pct,15712,1651.282397352342,-115.2388,2830.466,835.0773930753564,1002.0,971.6796079429736,136.6022148676171,6560.368,11720,3374,618,74.59266802443992,21.474032586558046,3.9332993890020367
wind_actual_mw,Actual wind output,INTFR,France(IFA),20_40pct,15705,3893.593370518943,2830.6159999999995,5018.745599999998,840.0096784463547,1002.0,970.0550143266476,130.0453358802929,6596.176,11926,3110,669,75.9375994906081,19.802610633556192,4.259789875835721
wind_actual_mw,Actual wind output,INTFR,France(IFA),40_60pct,15712,6261.010603245926,5018.818,7611.486599999997,712.4862525458249,996.0,866.9873981670061,154.50114562118125,5597.292,11186,3816,710,71.1939918533605,24.287169042769857,4.518839103869654
wind_actual_mw,Actual wind output,INTFR,France(IFA),60_80pct,15705,9147.22514184018,7611.787199999998,10784.568000000003,541.7837631327602,708.0,734.9633874562242,193.17962432346386,4254.357,10335,4710,660,65.80706781279846,29.990448901623683,4.202483285577841
wind_actual_mw,Actual wind output,INTFR,France(IFA),highest_20pct,15710,12713.216694793125,10784.598000000004,17142.889999999996,398.59083386378103,490.0,650.2611075747931,251.6702737110121,3130.931,9801,5362,547,62.38701464035646,34.13112667091025,3.4818586887332907
wind_actual_mw,Actual wind output,INTGRNL,Ireland (Greenlink),lowest_20pct,2314,1812.2626472774418,15.667399999999992,2829.543599999999,-427.1123595505618,-514.0,7.296456352636128,434.40881590319793,-494.169,144,2155,15,6.222990492653413,93.12878133102852,0.648228176318064
wind_actual_mw,Actual wind output,INTGRNL,Ireland (Greenlink),20_40pct,3202,3933.523303372892,2830.7489999999984,5018.335199999999,-388.2704559650219,-514.0,18.422236102435978,406.6926920674578,-621.621,281,2861,60,8.77576514678326,89.35040599625235,1.8738288569643973
wind_actual_mw,Actual wind output,INTGRNL,Ireland (Greenlink),40_60pct,3458,6281.14910746096,5018.8512,7611.486599999997,-347.90225563909775,-514.0,34.828224407171774,382.7304800462695,-601.523,440,2968,50,12.724117987275882,85.82995951417004,1.4459224985540775
wind_actual_mw,Actual wind output,INTGRNL,Ireland (Greenlink),60_80pct,3180,9071.195174528302,7612.539400000001,10783.756000000001,-341.4050314465409,-514.0,36.77169811320755,378.1767295597484,-542.8340000000001,423,2695,62,13.30188679245283,84.74842767295597,1.949685534591195
wind_actual_mw,Actual wind output,INTGRNL,Ireland (Greenlink),highest_20pct,3830,13079.99591065274,10784.7864,17142.889999999996,-273.20313315926893,-462.0,55.61618798955614,328.81932114882505,-523.184,822,2987,21,21.462140992167104,77.98955613577023,0.5483028720626633
wind_actual_mw,Actual wind output,INTIFA2,IFA2 (INTIFA2),lowest_20pct,15712,1651.282397352342,-115.2388,2830.466,409.24541751527494,715.0,555.2516547861508,146.00623727087577,3215.032,10671,5029,12,67.91624236252545,32.00738289205703,0.07637474541751527
wind_actual_mw,Actual wind output,INTIFA2,IFA2 (INTIFA2),20_40pct,15705,3893.593370518943,2830.6159999999995,5018.745599999998,381.01127029608404,680.0,529.5679083094556,148.55663801337153,2991.891,10372,5321,12,66.04266157274753,33.880929640241966,0.07640878701050621
wind_actual_mw,Actual wind output,INTIFA2,IFA2 (INTIFA2),40_60pct,15712,6261.010603245926,5018.818,7611.486599999997,285.31924643584523,380.0,454.71193991853363,169.3926934826884,2241.468,9297,6403,12,59.17133401221996,40.752291242362524,0.07637474541751527
wind_actual_mw,Actual wind output,INTIFA2,IFA2 (INTIFA2),60_80pct,15705,9147.22514184018,7611.787199999998,10784.568000000003,205.6686405603311,144.0,399.243935052531,193.57529449219993,1615.013,8415,7278,12,53.581661891117484,46.341929321872016,0.07640878701050621
wind_actual_mw,Actual wind output,INTIFA2,IFA2 (INTIFA2),highest_20pct,15710,12713.216694793125,10784.598000000004,17142.889999999996,128.12132399745386,-2.0,337.8599618077657,209.7386378103119,1006.393,7515,8178,17,47.83577339274348,52.056015276893696,0.10821133036282624
wind_actual_mw,Actual wind output,INTIRL,Northern Ireland(Moyle),lowest_20pct,15712,1651.282397352342,-115.2388,2830.466,-205.69551934826885,-278.0,39.079938900203665,244.77545824847252,-1615.944,3348,11377,987,21.308553971486763,72.4096232179226,6.281822810590631
wind_actual_mw,Actual wind output,INTIRL,Northern Ireland(Moyle),20_40pct,15705,3893.593370518943,2830.6159999999995,5018.745599999998,-206.32537408468642,-302.0,44.362687042343204,250.6880611270296,-1620.17,3248,11405,1052,20.681311684177015,72.6201846545686,6.698503661254378
wind_actual_mw,Actual wind output,INTIRL,Northern Ireland(Moyle),40_60pct,15712,6261.010603245926,5018.818,7611.486599999997,-170.48536150712832,-272.0,61.550152749490834,232.03551425661914,-1339.333,4132,10689,891,26.29837067209776,68.03080448065172,5.670824847250509
wind_actual_mw,Actual wind output,INTIRL,Northern Ireland(Moyle),60_80pct,15705,9147.22514184018,7611.787199999998,10784.568000000003,-167.8810569882203,-266.0,64.10149633874562,231.98255332696593,-1318.286,4377,10730,598,27.87010506208214,68.32219038522763,3.8077045526902262
wind_actual_mw,Actual wind output,INTIRL,Northern Ireland(Moyle),highest_20pct,15710,12713.216694793125,10784.598000000004,17142.889999999996,-121.3973265436028,-177.0,78.831190324634,200.2285168682368,-953.576,5267,9890,553,33.52641629535328,62.95353278166773,3.520050922978994
wind_actual_mw,Actual wind output,INTNED,Netherlands(BritNed),lowest_20pct,15712,1651.282397352342,-115.2388,2830.466,362.3075356415479,561.0,515.8570519348269,153.54951629327903,2846.288,10516,3770,1426,66.92973523421588,23.99439918533605,9.075865580448065
wind_actual_mw,Actual wind output,INTNED,Netherlands(BritNed),20_40pct,15705,3893.593370518943,2830.6159999999995,5018.745599999998,275.74734161095193,404.0,461.8995224450812,186.15218083412927,2165.306,9680,4507,1518,61.63642152180834,28.697866921362625,9.665711556829034
wind_actual_mw,Actual wind output,INTNED,Netherlands(BritNed),40_60pct,15712,6261.010603245926,5018.818,7611.486599999997,219.98752545824848,314.0,429.818100814664,209.83057535641547,1728.222,9191,4962,1559,58.496690427698574,31.580957230142566,9.92235234215886
wind_actual_mw,Actual wind output,INTNED,Netherlands(BritNed),60_80pct,15705,9147.22514184018,7611.787199999998,10784.568000000003,208.39554282075773,274.0,419.95797516714424,211.56243234638652,1636.426,9067,5147,1491,57.733205985354985,32.77300222858962,9.493791786055397
wind_actual_mw,Actual wind output,INTNED,Netherlands(BritNed),highest_20pct,15710,12713.216694793125,10784.598000000004,17142.889999999996,139.60407383831955,104.0,379.9451304901337,240.34105665181414,1096.59,8265,5662,1783,52.60980267345639,36.04073838319542,11.349458943348186
wind_actual_mw,Actual wind output,INTNEM,Belgium (Nemolink),lowest_20pct,15712,1651.282397352342,-115.2388,2830.466,467.4784877800407,740.0,588.0400967413442,120.56160896130346,3672.511,12084,3383,245,76.90936863543789,21.531313645621182,1.5593177189409368
wind_actual_mw,Actual wind output,INTNEM,Belgium (Nemolink),20_40pct,15705,3893.593370518943,2830.6159999999995,5018.745599999998,382.95893027698185,586.0,518.3831900668577,135.42425978987583,3007.185,11364,3963,378,72.35912129894938,25.23400191021968,2.4068767908309456
wind_actual_mw,Actual wind output,INTNEM,Belgium (Nemolink),40_60pct,15712,6261.010603245926,5018.818,7611.486599999997,289.78716904276985,453.0,461.99643584521385,172.209266802444,2276.568,10423,4789,500,66.33783095723014,30.47988798370672,3.1822810590631363
wind_actual_mw,Actual wind output,INTNEM,Belgium (Nemolink),60_80pct,15705,9147.22514184018,7611.787199999998,10784.568000000003,282.36179560649475,424.0,452.8753900031837,170.51359439668894,2217.246,10378,4802,525,66.08086596625279,30.57624960203757,3.3428844317096464
wind_actual_mw,Actual wind output,INTNEM,Belgium (Nemolink),highest_20pct,15710,12713.216694793125,10784.598000000004,17142.889999999996,229.56575429662635,348.0,434.68669637173775,205.1209420751114,1803.239,9818,5459,433,62.49522597071929,34.748567791215784,2.7562062380649266
wind_actual_mw,Actual wind output,INTNSL,North Sea Link (INTNSL),lowest_20pct,13349,1701.0301875196644,-115.2388,2830.466,971.6964566634205,1298.0,1013.2540265188404,41.557569855419885,6485.588000000001,11893,1333,123,89.09281594126901,9.985766724099184,0.9214173346318075
wind_actual_mw,Actual wind output,INTNSL,North Sea Link (INTNSL),20_40pct,14691,3899.859181948131,2830.6159999999995,5018.745599999998,979.1935198420801,1298.0,1029.898032809203,50.70451296712273,7192.666,12890,1411,390,87.74079368320741,9.6045197740113,2.654686542781295
wind_actual_mw,Actual wind output,INTNSL,North Sea Link (INTNSL),40_60pct,15148,6264.374092170584,5018.818,7611.486599999997,904.049643517296,1244.0,967.3628201742804,63.31317665698442,6847.272000000001,12994,1666,488,85.78030102983892,10.998151571164511,3.2215473989965675
wind_actual_mw,Actual wind output,INTNSL,North Sea Link (INTNSL),60_80pct,15241,9151.261751499247,7611.787199999998,10784.568000000003,788.0622006430025,1048.0,862.6032412571353,74.54104061413292,6005.428000000001,12656,2114,471,83.0391706580933,13.870480939570895,3.0903484023358048
wind_actual_mw,Actual wind output,INTNSL,North Sea Link (INTNSL),highest_20pct,15653,12717.831889554718,10784.598000000004,17142.889999999996,581.1271960646521,740.0,738.2418705679422,157.1146745032901,4548.192,11643,3604,406,74.3819076215422,23.024340382035394,2.593751996422411
wind_actual_mw,Actual wind output,INTVKL,Denmark (Viking link),lowest_20pct,5535,1770.1069489792233,-114.58820000000001,2829.6039999999994,456.9192411924119,698.0,600.7342366757001,143.81499548328816,1264.524,3898,1312,325,70.4245709123758,23.703703703703706,5.871725383920506
wind_actual_mw,Actual wind output,INTVKL,Denmark (Viking link),20_40pct,6848,3908.804903329439,2830.7489999999984,5018.455600000001,337.7283878504673,515.0,530.192464953271,192.46407710280374,1156.382,4223,1999,626,61.66764018691588,29.191004672897197,9.141355140186915
wind_actual_mw,Actual wind output,INTVKL,Denmark (Viking link),40_60pct,7348,6289.5456729178,5018.8512,7611.486599999997,318.5117038649973,432.0,527.2144801306478,208.70277626565053,1170.212,4473,2270,605,60.873707131192155,30.8927599346761,8.233532934131736
wind_actual_mw,Actual wind output,INTVKL,Denmark (Viking link),60_80pct,7123,9080.46271604661,7612.539400000001,10783.890000000003,315.746174364734,450.0,551.3620665449951,235.6158921802611,1124.53,4293,2431,399,60.26954934718517,34.12887828162291,5.601572371191914
wind_actual_mw,Actual wind output,INTVKL,Denmark (Viking link),highest_20pct,8090,12861.887769270705,10784.7864,17142.889999999996,356.53325092707047,536.0,585.2474660074166,228.7142150803461,1442.177,5029,2613,448,62.163164400494445,32.29913473423981,5.53770086526576
wind_actual_mw,Actual wind output,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,15712,1651.282397352342,-115.2388,2830.466,2916.7809317718943,3684.0,3311.9643584521386,395.1834266802444,22914.231,12931,2776,5,82.30015274949083,17.668024439918533,0.03182281059063136
wind_actual_mw,Actual wind output,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,20_40pct,15705,3893.593370518943,2830.6159999999995,5018.745599999998,2856.055651066539,3472.0,3261.1628143903217,405.10716332378223,22427.177,12895,2806,4,82.10760904170647,17.86692136262337,0.025469595670168738
wind_actual_mw,Actual wind output,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,40_60pct,15712,6261.010603245926,5018.818,7611.486599999997,2475.2856415478614,3014.0,2956.9727596741345,481.68711812627294,19445.844,12487,3222,3,79.47428716904277,20.50661914460285,0.019093686354378817
wind_actual_mw,Actual wind output,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,60_80pct,15705,9147.22514184018,7611.787199999998,10784.568000000003,2032.4971665074818,2294.0,2540.4933460681314,507.99617956064947,15960.184000000001,11900,3804,1,75.772047118752,24.221585482330468,0.006367398917542184
wind_actual_mw,Actual wind output,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,highest_20pct,15710,12713.216694793125,10784.598000000004,17142.889999999996,1597.0171865054106,1801.0,2300.727943984723,703.7107574793125,12544.57,10810,4894,6,68.80967536600892,31.152132399745387,0.03819223424570337
wind_before_curtailment_mw,Wind before curtailment proxy,INTELEC,Eleclink (INTELEC),lowest_20pct,11331,1744.1608888458488,-115.2388,2888.2399999999993,391.52219574618306,736.0,544.7235018974495,153.20130615126644,2218.169,7300,2571,1460,64.42502868237578,22.68996558114906,12.885005736475158
